Label,SMS
spam,Bạn đã trúng 5.000.000đ từ chương trình khuyến mãi. Liên hệ ngay 0901234567 để nhận thưởng!
ham,"Chào em, chiều nay anh sẽ đến đón em lúc 5h nhé. Đừng quên mang theo tài liệu."
spam,Cơ hội đầu tư với lãi suất 30%/tháng. Liên hệ ngay: 0987654321
ham,"Mẹ ơi, con sẽ về nhà muộn một chút. Đừng đợi cơm con."
spam,Chúc mừng! Số điện thoại của bạn đã trúng 100 triệu đồng. Gọi ngay 1900xxxx để nhận giải.
ham,Họp lúc 9h sáng mai tại phòng 305 nhé. Nhớ chuẩn bị báo cáo.
spam,HOT! Giảm 70% tất cả sản phẩm. Mua ngay kẻo hết: www.giamgia-fake.com
ham,"Anh yêu, tối nay em nấu bún bò, anh về sớm nhé!"
spam,Tài khoản của bạn sắp bị khóa. Vui lòng xác nhận thông tin tại: secure-bank-fake.com
ham,"Chị ơi, em đã gửi file qua email rồi. Chị kiểm tra giúp em nhé."
spam,Tải game miễn phí tại đây và nhận ngay 1000 xu: gamesvn-fake.net
ham,Bạn nhớ trả sách cho mình vào thứ 2 tuần sau nhé!
spam,Cảnh báo: Thẻ ngân hàng của bạn đã bị khóa. Hãy gọi 19001234 để mở lại.
ham,"Tớ đang ở siêu thị, cần mua gì không?"
spam,Cuộc gọi nhỡ từ dịch vụ chăm sóc khách hàng. Gọi lại 09000xxxxx để được phục vụ.
ham,Nhớ đón con lúc 4h chiều nhé anh!
spam,Bạn đã được chọn làm người may mắn nhận iPhone 15 Pro Max. Truy cập: iphone-gift-fake.com
ham,Mai thi môn gì vậy? Cho tớ mượn tài liệu với.
spam,"NÓNG! BẤT ĐỘNG SẢN GIÁ RẺ, CHỈ 100TR/NỀN, CƠ HỘI CHO NHÀ ĐẦU TƯ. LH: 0912345678"
ham,"Đã nhận được tiền rồi, cảm ơn em nhiều!"
spam,Vui lòng xác nhận tài khoản ngân hàng của bạn tại: bank-verify-fake.com
ham,Nhớ mua sữa cho con khi về nhé!
spam,Chương trình tặng xe máy Honda Vision cho 10 khách hàng may mắn. Gửi tin nhắn đến 8177 để tham gia.
ham,Bài tập về nhà đến hôm nay là deadline đó! Nhớ nộp nhé.
spam,Bạn có 3 tin nhắn chưa đọc. Gọi 1900xxxx để kiểm tra.
ham,"Hôm nay trời mưa, nhớ mang áo mưa khi ra ngoài nhé!"
spam,Cảnh báo khẩn: Tài khoản của bạn đang có nguy cơ bị đánh cắp. Vui lòng cập nhật mật khẩu tại: secure-fake.com
ham,Anh/chị có thể gửi lại file hợp đồng được không? Em không tìm thấy trong email.
spam,SỐC! Cơ hội cuối cùng giảm 90% toàn bộ cửa hàng. Chỉ còn 2 ngày: shopdiscount-fake.vn
ham,Bố mẹ khỏe không? Con đã đến nơi an toàn rồi.
spam,Thông báo: Bạn còn nợ cước 500.000đ. Thanh toán ngay để tránh bị khóa sim.
ham,"Bạn ơi, cho mình xin số tài khoản ngân hàng để chuyển tiền nhé."
spam,Chúc mừng sinh nhật! Nhận ngay voucher 1.000.000đ tại: birthday-gift-fake.com
ham,Nhớ mang theo CMND khi đi làm thủ tục nhé!
spam,KHẨN CẤP: Tài khoản ngân hàng của bạn đã bị đóng băng. Liên hệ: 1900xxxx
ham,"Họp lớp vào thứ 7 tuần này, 6h chiều tại quán cafe XYZ. Bạn tham gia nhé!"
spam,Trúng thưởng! Bạn là người may mắn nhận được 50 triệu từ chương trình của chúng tôi. Liên hệ: 090xxxxxxx
ham,"Chào anh, em sẽ gửi báo cáo vào cuối ngày hôm nay."
spam,BOM TẤN! Cơ hội đầu tư sinh lời 100%/năm. Hạn chót: Ngày mai. LH: 0987654321
ham,Lát tan làm ghé qua nhà chị lấy đồ giúp mẹ nhé!
spam,Tin vui: Bạn đã được chọn làm đại sứ thương hiệu. Nhận ngay 10 triệu đồng. Liên hệ: brand-fake.com
ham,Nhớ nộp bảo hiểm trước ngày 15 tháng này nhé!
spam,Tài khoản Zalo của bạn có nguy cơ bị khóa. Xác minh tại: zalo-secure-fake.com
ham,Bạn có thể đưa mình về không? Trời mưa quá không có xe.
spam,Quà tặng đặc biệt từ Viettel: 20GB data miễn phí. Soạn DK gửi 9123 để nhận.
ham,"Tối nay có buổi tiệc nhỏ ở nhà mình, bạn đến chơi nhé!"
spam,Cảnh báo: Hóa đơn điện chưa thanh toán. Nguy cơ bị cắt điện trong 24h. Chi tiết: electric-bill-fake.com
ham,"Anh ơi, em quên chìa khóa ở nhà. Anh có thể về sớm không?"
spam,"NÓNG! Cơ hội việc làm lương 50tr/tháng, làm việc tại nhà. Ứng tuyển: job-high-fake.com"
ham,Nhớ mua thuốc cho bà nội khi đi làm về nhé!
spam,Thông báo: Bạn vừa trúng thưởng một chiếc xe Honda SH. Liên hệ ngay: 0901234xxx
ham,"Đến giờ họp rồi, bạn ở đâu vậy?"
spam,HOT: Cơ hội đầu tư Bitcoin siêu lợi nhuận. Chỉ 5 triệu ban đầu. Liên hệ: crypto-fake.com
ham,"Ngày mai mẹ đến Hà Nội, con ra sân bay đón mẹ nhé!"
spam,Chúc mừng! Bạn đã được chọn để nhận học bổng 100% khóa học tiếng Anh. Chi tiết: english-fake.edu.vn
ham,"Em ơi, anh bị kẹt xe, sẽ đến trễ khoảng 15 phút."
spam,Cảnh báo bảo mật: Tài khoản Facebook của bạn đang bị đăng nhập lạ. Kiểm tra tại: fb-secure-fake.com
ham,Nhớ trả lời email của sếp trước 3h chiều nay nhé!
spam,Thông báo từ ngân hàng: Tài khoản của bạn vừa bị trừ 5.000.000đ. Kiểm tra ngay: bank-alert-fake.com
ham,"Chị ơi, em đã chuyển tiền rồi. Chị check giúp em nhé."
spam,SIÊU GIẢM GIÁ 24H! Mua 1 tặng 2 tất cả sản phẩm. Shop: mega-sale-fake.vn
ham,"Hôm nay là sinh nhật mẹ, đừng quên gọi điện chúc mừng nhé!"
spam,Bạn nợ cước phí 1.200.000đ. SIM sẽ bị khóa sau 24h nếu không thanh toán.
ham,Đã đặt vé xem phim lúc 8h tối nay. Nhớ đến đúng giờ nhé!
spam,Trúng thưởng! SĐT của bạn đã may mắn nhận được 20 triệu đồng. Liên hệ: 0901234567
ham,Cảm ơn em đã giúp anh hôm qua. Công việc đã hoàn thành tốt đẹp.
spam,Tài khoản MoMo của bạn sắp hết hạn. Gia hạn tại: momo-extend-fake.com
ham,Chiều nay họp phụ huynh lúc 5h. Bạn đi cùng mình không?
spam,KHẨN: SIM của bạn sẽ bị khóa 2 chiều trong 2h nữa. Liên hệ 19001235 để được hỗ trợ.
ham,"Anh ơi, tối nay em phải làm việc muộn. Anh đón con giúp em nhé."
spam,Chào mừng! Bạn đã được tặng 500MB data miễn phí. Soạn OK gửi 9123 để kích hoạt.
ham,Chìa khóa để ở dưới chậu cây cạnh cửa nhé!
spam,Thông báo: Tài khoản ngân hàng của bạn đã bị khóa do vi phạm bảo mật. Mở khóa tại: bank-unlock-fake.com
ham,Bạn đã làm xong bài tập lớn chưa? Ngày mai nộp rồi đó.
spam,"Cơ hội việc làm thu nhập 40-80tr/tháng, làm tại nhà. Ứng tuyển ngay: job-home-fake.com"
ham,"Nhớ mang theo áo khoác, hôm nay trời lạnh đó!"
spam,HOT! Giảm giá sốc 70% tất cả sản phẩm. Chỉ 3 ngày: mega-discount-fake.com
ham,"Mẹ ơi, tối nay con về muộn. Mẹ không cần nấu cơm cho con."
spam,Thông báo: Tài khoản Facebook của bạn đang gặp vấn đề. Xác thực tại: fb-secure-fake.com
ham,Tài liệu họp đã được gửi qua email. Anh/chị kiểm tra nhé!
spam,Bạn đã trúng thưởng 50 triệu trong chương trình quay số. Liên hệ: 090xxxxxxx để nhận giải.
ham,Mai có bài kiểm tra đó! Bạn chuẩn bị đầy đủ chưa?
spam,Cảnh báo: Tài khoản ngân hàng của bạn có giao dịch bất thường. Kiểm tra: bank-alert-fake.com
ham,Tối nay mình có hẹn với bác sĩ. Bạn đón con giúp mình nhé!
spam,Chương trình tặng xe máy Honda Vision cho 10 khách hàng may mắn. Chi tiết: moto-gift-fake.com
ham,"Chị ơi, em gửi file báo cáo rồi. Chị kiểm tra giúp em nhé!"
spam,HOT! Cơ hội đầu tư sinh lời 100%/năm. LH: 0901234567 để được tư vấn.
ham,Bố mẹ khỏe không? Con đã đến nơi an toàn rồi ạ!
spam,Thông báo: SIM của bạn sẽ bị khóa trong 24h nếu không cập nhật thông tin. Chi tiết: sim-lock-fake.com
ham,"Anh ơi, tối nay em về muộn. Anh nhớ cho con ăn tối nhé!"
spam,Chúc mừng! Bạn đã trúng 100 triệu trong chương trình khuyến mãi. LH: 1900xxxx
ham,Bạn có thể gửi lại link họp Zoom được không? Mình không tìm thấy.
spam,Cảnh báo: Tài khoản ngân hàng của bạn sắp bị khóa. Xác minh tại: bank-secure-fake.com
ham,"Chị ơi, mai em có thể nộp báo cáo trễ một ngày được không?"
spam,HOT! Cơ hội mua nhà giá rẻ chỉ 500tr/căn. LH: 0987654321
